Name,Age,Roll No,Class,Phone Number
Aarav Sharma,15,101,10-A,9876543210
Vihaan Verma,14,102,9-B,9876543211
Aditya Singh,16,103,11-A,9876543212
Rohan Gupta,15,104,10-B,9876543213
Arjun Patel,14,105,9-A,9876543214
Karan Malhotra,17,106,12-A,9876543215
Siddharth Jain,16,107,11-B,9876543216
Yash Mehta,15,108,10-C,9876543217
Rahul Khanna,14,109,9-C,9876543218
Ankit Bansal,16,110,11-A,9876543219
Mohit Aggarwal,17,111,12-B,9876543220
Nikhil Chawla,15,112,10-A,9876543221
Piyush Tiwari,14,113,9-B,9876543222
Shubham Mishra,16,114,11-C,9876543223
Aman Yadav,15,115,10-B,9876543224
Deepak Joshi,17,116,12-A,9876543225
Vikas Rana,16,117,11-B,9876543226
Sachin Kumar,14,118,9-A,9876543227
Pranav Kulkarni,15,119,10-C,9876543228
Ritik Saxena,16,120,11-A,9876543229
Harsh Vardhan,17,121,12-C,9876543230
Abhishek Dubey,15,122,10-A,9876543231
Manish Pandey,14,123,9-C,9876543232
Akash Roy,16,124,11-B,9876543233
Sumit Thakur,15,125,10-B,9876543234
Ravi Shankar,17,126,12-B,9876543235
Naveen Saini,16,127,11-C,9876543236
Gaurav Negi,14,128,9-A,9876543237
Kunal Arora,15,129,10-C,9876543238
Tarun Kapoor,17,130,12-A,9876543239
